,ID,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,species
2e2c9ba7d2705df73e2462843b317040fe0d77ce,Halichoeres bivittatus,Eukaryota,Metazoa,Chordata,Actinopteri,Labriformes,Labridae,Halichoeres,Halichoeres bivittatus
2fea1d37267b7a8711afd546ba5c7464b745eea2,Ocyurus chrysurus,Eukaryota,Metazoa,Chordata,Actinopteri,Lutjaniformes,Lutjanidae,Ocyurus,Ocyurus chrysurus
323db8344735251360a7d4bd711832ed3e33e796,Haemulon aurolineatum,Eukaryota,Metazoa,Chordata,Actinopteri,Lutjaniformes,Haemulidae,Haemulon,Haemulon aurolineatum
39c760af9afd7c1b22f8a6fac2a6ef57f7d72849,Sparisoma radians,Eukaryota,Metazoa,Chordata,Actinopteri,Labriformes,Labridae,Sparisoma,Sparisoma radians
3dc0251dc7a352a4207f6afdd7f203dd9101a5c3,Fistulariidae,Eukaryota,Metazoa,Chordata,Actinopteri,Syngnathiformes,Fistulariidae,,
4335e3a7eca2cc4ad968354cba562e80b0aab0ca,Sphyraena barracuda,Eukaryota,Metazoa,Chordata,Actinopteri,,Sphyraenidae,Sphyraena,Sphyraena barracuda
436e129282c8fe26ede83dc5dad69def4813a8b5,Acanthurus chirurgus,Eukaryota,Metazoa,Chordata,Actinopteri,Acanthuriformes,Acanthuridae,Acanthurus,Acanthurus chirurgus
49f7635714a32681b8e931c0eeaabe9ca97b1d5e,Calamus penna,Eukaryota,Metazoa,Chordata,Actinopteri,Spariformes,Sparidae,Calamus,Calamus penna
574d70c36d05b2d1643a71f50b0386090d53bc79,Anchoa hepsetus,Eukaryota,Metazoa,Chordata,Actinopteri,Clupeiformes,Engraulidae,Anchoa,Anchoa hepsetus
5fd3516c90f81d6c26b8f875f0cdc17e1e916c1e,Engraulis encrasicolus,Eukaryota,Metazoa,Chordata,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis encrasicolus
6331aacf321c76616784238ae89524f462855381,Caranx sexfasciatus,Eukaryota,Metazoa,Chordata,Actinopteri,Carangiformes,Carangidae,Caranx,Caranx sexfasciatus
63714c9f1099773107285874d33af6869c1644a9,Mulloidichthys martinicus,Eukaryota,Metazoa,Chordata,Actinopteri,Syngnathiformes,Mullidae,Mulloidichthys,Mulloidichthys martinicus
663331afb806a33a1961b598f4a069a928e1d929,Trachinotus falcatus,Eukaryota,Metazoa,Chordata,Actinopteri,Carangiformes,Carangidae,Trachinotus,Trachinotus falcatus
768763e41b3714e87569ab5faebb908efae49ea9,Hemiramphus brasiliensis,Eukaryota,Metazoa,Chordata,Actinopteri,Beloniformes,Hemiramphidae,Hemiramphus,Hemiramphus brasiliensis
77999e982c09ce41ca2a88e271088f94a99bb144,Chaetodon capistratus,Eukaryota,Metazoa,Chordata,Actinopteri,Chaetodontiformes,Chaetodontidae,Chaetodon,Chaetodon capistratus
79c1e7337dca9d70a8a31c2458998f57b5491b9b,Ctenogobius saepepallens,Eukaryota,Metazoa,Chordata,Actinopteri,Gobiiformes,Gobiidae,Ctenogobius,Ctenogobius saepepallens
7a2417486c4898faff961dd3e0f8e266300bdc07,Tylosurus crocodilus,Eukaryota,Metazoa,Chordata,Actinopteri,Beloniformes,Belonidae,Tylosurus,Tylosurus crocodilus
7cdca7c5f074c837ec0de81b286eda93b98b18cd,Sparisoma rubripinne,Eukaryota,Metazoa,Chordata,Actinopteri,Labriformes,Labridae,Sparisoma,Sparisoma rubripinne
84164ff316d8408656d1fcb3aa46d1049df0d208,Sparisoma viride,Eukaryota,Metazoa,Chordata,Actinopteri,Labriformes,Labridae,Sparisoma,Sparisoma viride
8429be08529bf29f138e83a98e47500ceb7ae2c6,Hypoatherina harringtonensis,Eukaryota,Metazoa,Chordata,Actinopteri,Atheriniformes,Atherinidae,Hypoatherina,Hypoatherina harringtonensis
844dfb69984a15dedd4e47496ff6d3290ea24a43,Hypleurochilus springeri,Eukaryota,Metazoa,Chordata,Actinopteri,Blenniiformes,Blenniidae,Hypleurochilus,Hypleurochilus springeri
8476f0de345034b5397a08d7d498574b312d2c9a,Stathmonotus stahli,Eukaryota,Metazoa,Chordata,Actinopteri,Blenniiformes,Labrisomidae,Stathmonotus,Stathmonotus stahli
89b649b8bb48d56af529d627d66d8774ab29bc1a,Gerres cinereus,Eukaryota,Metazoa,Chordata,Actinopteri,Gerreiformes,Gerreidae,Gerres,Gerres cinereus
8d4de261026f110153c2c428e11bf217db206bb4,Tripterygiidae,Eukaryota,Metazoa,Chordata,Actinopteri,Blenniiformes,Tripterygiidae,,
8e024cc89e180268c6bea4bebbef956ccbdea69f,Tylosurus acus,Eukaryota,Metazoa,Chordata,Actinopteri,Beloniformes,Belonidae,Tylosurus,Tylosurus acus
9a806506ce9194af83d8d719460187ace1a50d4f,Acanthurus bahianus,Eukaryota,Metazoa,Chordata,Actinopteri,Acanthuriformes,Acanthuridae,Acanthurus,Acanthurus bahianus
9cb6e373e7b32eaeeb04657ee9a24e3ceaba3943,Mugil rubrioculus,Eukaryota,Metazoa,Chordata,Actinopteri,Mugiliformes,Mugilidae,Mugil,Mugil rubrioculus
a47a370407c18f684182f990b8ae8c08dc2b2909,Bairdiella chrysoura,Eukaryota,Metazoa,Chordata,Actinopteri,,Sciaenidae,Bairdiella,Bairdiella chrysoura
a4e9b0fbb8575ab6a044178606ab0afb5566ab57,Haemulon bonariense,Eukaryota,Metazoa,Chordata,Actinopteri,Lutjaniformes,Haemulidae,Haemulon,Haemulon bonariense
a537cf29d6a8939754457f6862b40578f49bd437,Lutjanus synagris,Eukaryota,Metazoa,Chordata,Actinopteri,Lutjaniformes,Lutjanidae,Lutjanus,Lutjanus synagris
a7be29d26fb56cc55310112cd298dd90eb036994,Stegastes planifrons,Eukaryota,Metazoa,Chordata,Actinopteri,,Pomacentridae,Stegastes,Stegastes planifrons
accc8d31b9fde074998d66b4c58cfad70f23477c,Centropomus undecimalis,Eukaryota,Metazoa,Chordata,Actinopteri,,Centropomidae,Centropomus,Centropomus undecimalis
adee00555bb6c8a33ff27d0330536dd748dc8728,Pleuronectidae,Eukaryota,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,,
b0c2abbf5c262f7fb6e93407d0f78963f70b56da,Lutjanus argentiventris,Eukaryota,Metazoa,Chordata,Actinopteri,Lutjaniformes,Lutjanidae,Lutjanus,Lutjanus argentiventris
b220b063fee69398c4204ca048e04b3c90a5ba9a,Ctenogobius saepepallens,Eukaryota,Metazoa,Chordata,Actinopteri,Gobiiformes,Gobiidae,Ctenogobius,Ctenogobius saepepallens
b238e71f6727ec4b768f2f6bb0175463d5c32d18,Diapterus rhombeus,Eukaryota,Metazoa,Chordata,Actinopteri,Gerreiformes,Gerreidae,Diapterus,Diapterus rhombeus
b4bfa62e4b14053b784508e4234a04e17e27de7f,Opsanus tau,Eukaryota,Metazoa,Chordata,Actinopteri,Batrachoidiformes,Batrachoididae,Opsanus,Opsanus tau
b4e036dae6ccfea6fc5e6692b5c1c82727d43641,Lutjanus mahogoni,Eukaryota,Metazoa,Chordata,Actinopteri,Lutjaniformes,Lutjanidae,Lutjanus,Lutjanus mahogoni
b60df17badc2f2c5f16fca1f8f1bd5c5418c6f0d,Acanthemblemaria aspera,Eukaryota,Metazoa,Chordata,Actinopteri,Blenniiformes,Chaenopsidae,Acanthemblemaria,Acanthemblemaria aspera
b94f540fcb72eb32e2362b900e19631c28c08070,Gobiidae,Eukaryota,Metazoa,Chordata,Actinopteri,Gobiiformes,Gobiidae,,
bdd0db21e1032b04e80cb2f75cdc40083d05e9ae,Carangoides bartholomaei,Eukaryota,Metazoa,Chordata,Actinopteri,Carangiformes,Carangidae,Carangoides,Carangoides bartholomaei
c4b373440ad65ef796897917370d6e1dfe6b1263,Anchoa mitchilli,Eukaryota,Metazoa,Chordata,Actinopteri,Clupeiformes,Engraulidae,Anchoa,Anchoa mitchilli
c4bbace044cf9763c82edaaf9235f65903cb61ae,Stegastes adustus,Eukaryota,Metazoa,Chordata,Actinopteri,,Pomacentridae,Stegastes,Stegastes adustus
c904a6966934ab3d91f6467603eb39460b42fe93,Hypoplectrus nigricans,Eukaryota,Metazoa,Chordata,Actinopteri,Perciformes,Serranidae,Hypoplectrus,Hypoplectrus nigricans
cc65a9631fedf68773bb084ddc35d1109cbff23f,Actinopteri,Eukaryota,Metazoa,Chordata,Actinopteri,,,,
ce565d5a7c735ba35690facf9ce9c06acfa1bd1a,Microgobius signatus,Eukaryota,Metazoa,Chordata,Actinopteri,Gobiiformes,Gobiidae,Microgobius,Microgobius signatus
d34dcac42081aa043e6a72bbba45167ec7272f42,Phaeoptyx pigmentaria,Eukaryota,Metazoa,Chordata,Actinopteri,Kurtiformes,Apogonidae,Phaeoptyx,Phaeoptyx pigmentaria
db5bc629bbe119a659f5011b18d701733021245f,Rypticus carpenteri,Eukaryota,Metazoa,Chordata,Actinopteri,Perciformes,Serranidae,Rypticus,Rypticus carpenteri
ded55841a7c26f168362b780f671083e1d11d8c2,Euthynnus alletteratus,Eukaryota,Metazoa,Chordata,Actinopteri,Scombriformes,Scombridae,Euthynnus,Euthynnus alletteratus
e3e237a5ccc784b8c04eade9343e126bd4781596,Jenkinsia lamprotaenia,Eukaryota,Metazoa,Chordata,Actinopteri,Clupeiformes,Clupeidae,Jenkinsia,Jenkinsia lamprotaenia
e52b28f790e905c6135e8633000565816a35f5e1,Enneanectes boehlkei,Eukaryota,Metazoa,Chordata,Actinopteri,Blenniiformes,Tripterygiidae,Enneanectes,Enneanectes boehlkei
e56c6ef3ce29f529bcc489a877f56f64413769a7,Chloroscombrus chrysurus,Eukaryota,Metazoa,Chordata,Actinopteri,Carangiformes,Carangidae,Chloroscombrus,Chloroscombrus chrysurus
e8c954c4da4d3f563514f2311e550504723b3554,Lophogobius cyprinoides,Eukaryota,Metazoa,Chordata,Actinopteri,Gobiiformes,Gobiidae,Lophogobius,Lophogobius cyprinoides
ec299c3f0a3a377967b4f39832de014d7278d585,Opisthonema oglinum,Eukaryota,Metazoa,Chordata,Actinopteri,Clupeiformes,Clupeidae,Opisthonema,Opisthonema oglinum
ecfd58897990024ec27c91dfe5545569a6da7389,Haemulon plumierii,Eukaryota,Metazoa,Chordata,Actinopteri,Lutjaniformes,Haemulidae,Haemulon,Haemulon plumierii
ed397d84cc1f178396f4a6b4d1ce261b7909b038,Lutjanus griseus,Eukaryota,Metazoa,Chordata,Actinopteri,Lutjaniformes,Lutjanidae,Lutjanus,Lutjanus griseus
efb143c9f8a44408dfbf8f07aef845c5758766e0,Strongylura timucu,Eukaryota,Metazoa,Chordata,Actinopteri,Beloniformes,Belonidae,Strongylura,Strongylura timucu
f00a39f643014a117494c456cefd67366bc619bf,Sparisoma aurofrenatum,Eukaryota,Metazoa,Chordata,Actinopteri,Labriformes,Labridae,Sparisoma,Sparisoma aurofrenatum
f026a8fbb99cd6f3845523fcb6d2c8b8a3ef0014,Poecilia mexicana,Eukaryota,Metazoa,Chordata,Actinopteri,Cyprinodontiformes,Poeciliidae,Poecilia,Poecilia mexicana
f1d6a738e04d8dd75a0bc85854e555eb7bd5a313,Abudefduf saxatilis,Eukaryota,Metazoa,Chordata,Actinopteri,,Pomacentridae,Abudefduf,Abudefduf saxatilis
f608808cf78ee0935485743fe4fea1b4cd37905e,Tomicodon lavettsmithi,Eukaryota,Metazoa,Chordata,Actinopteri,Blenniiformes,Gobiesocidae,Tomicodon,Tomicodon lavettsmithi
f9f1a6cb2a519ae92dad16efc2d8f733ed707596,Thunnus obesus,Eukaryota,Metazoa,Chordata,Actinopteri,Scombriformes,Scombridae,Thunnus,Thunnus obesus
fc997ab1eaf9e3ec859c6e0511b660a2b2d5708a,Caranx crysos,Eukaryota,Metazoa,Chordata,Actinopteri,Carangiformes,Carangidae,Caranx,Caranx crysos
feac10a1b9abb9ce0b7ce6594156e1ac50c0b077,Serranus tigrinus,Eukaryota,Metazoa,Chordata,Actinopteri,Perciformes,Serranidae,Serranus,Serranus tigrinus
fff8cfda3ff44f01e0e63fdb1e872c4e95f72da0,Coryphopterus dicrus,Eukaryota,Metazoa,Chordata,Actinopteri,Gobiiformes,Gobiidae,Coryphopterus,Coryphopterus dicrus
