"Species";"Kingdom";"Phylum";"Class";"Order";"Family";"System";
"Cyprinus carpio";"Animalia";"Chordata";"Actinopterygii";"Cypriniformes";"Cyprinidae";"Freshwater";
"Diaphorina citri";"Animalia";"Arthropoda";"Insecta";"Hemiptera";"Psyllidae";"Terrestrial";
"Dichrostachys cinerea";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Didemnum spp.";"Animalia";"Chordata";"Ascidiacea";"Enterogona";"Didemnidae";"Marine";
"Dyssodia tenuiloba";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Egeria densa";"Plantae";"Magnoliophyta";"Liliopsida";"Hydrocharitales";"Hydrocharitaceae";"Terrestrial";
"Eichhornia crassipes";"Plantae";"Magnoliophyta";"Liliopsida";"Liliales";"Pontederiaceae";"Terrestrial";
"Elaeagnus angustifolia";"Plantae";"Magnoliophyta";"Magnoliopsida";"Rhamnales";"Elaeagnaceae";"Terrestrial";
"Elaeis guineensis";"Plantae";"Magnoliophyta";"Liliopsida";"Arecales";"Arecaceae";"Terrestrial";
"Elaphe guttata";"Animalia";"Chordata";"Reptilia";"Squamata";"Colubridae";"Terrestrial";
"Elephantopus mollis";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Eleutherodactylus coqui";"Animalia";"Chordata";"Amphibia";"Anura";"Leptodactylidae";"Freshwater_terrestrial";
"Eleutherodactylus johnstonei";"Animalia";"Chordata";"Amphibia";"Anura";"Leptodactylidae";"Freshwater_terrestrial";
"Eleutherodactylus planirostris";"Animalia";"Chordata";"Amphibia";"Anura";"Leptodactylidae";"Freshwater_terrestrial";
"Epipremnum pinnatum";"Plantae";"Magnoliophyta";"Liliopsida";"Arales";"Araceae";"Terrestrial";
"Equus asinus";"Animalia";"Chordata";"Mammalia";"Perissodactyla";"Equidae";"Terrestrial";
"Equus caballus";"Animalia";"Chordata";"Mammalia";"Perissodactyla";"Equidae";"Terrestrial";
"Eriobotrya japonica";"Plantae";"Magnoliophyta";"Magnoliopsida";"Rosales";"Rosaceae";"Terrestrial";
"Erythrocebus patas";"Animalia";"Chordata";"Mammalia";"Primates";"Cercopithecidae";"Terrestrial";
"Estrilda astrild";"Animalia";"Chordata";"Aves";"Passeriformes";"Estrildidae";"Terrestrial";
"Eugenia uniflora";"Plantae";"Magnoliophyta";"Magnoliopsida";"Myrtales";"Myrtaceae";"Terrestrial";
"Euglandina rosea";"Animalia";"Mollusca";"Gastropoda";"Stylommatophora";"Spiraxidae";"Terrestrial";
"Felis catus";"Animalia";"Chordata";"Mammalia";"Carnivora";"Felidae";"Terrestrial";
"Ficus microcarpus";"Plantae";"Magnoliophyta";"Magnoliopsida";"Urticales";"Moraceae";"Terrestrial";
"Flacourtia indica";"Plantae";"Magnoliophyta";"Magnoliopsida";"Violales";"Flacourtiaceae";"Terrestrial";
"Flemingia strobilifera";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Funtumia elastica";"Plantae";"Magnoliophyta";"Magnoliopsida";"Gentianales";"Apocynaceae";"Terrestrial";
"Gallus gallus";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Terrestrial";
"Gallus varius";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Terrestrial";
"Gambusia affinis";"Animalia";"Chordata";"Actinopterygii";"Cyprinodontiformes";"Poeciliidae";"Freshwater";
"Gambusia holbrooki";"Animalia";"Chordata";"Actinopterygii";"Cyprinodontiformes";"Poeciliidae";"Freshwater";
"Gastrophryne carolinensis";"Animalia";"Chordata";"Amphibia";"Anura";"	Microhylidae";"Freshwater_terrestrial";
"Grevillea robusta";"Plantae";"Magnoliophyta";"Magnoliopsida";"Proteales";"Proteaceae";"Terrestrial";
"Gymnodinium catenatum";"Plantae";"Pyrrophycophyta";"Dinophyceae";"Gymnodiniales";"Gymnodiniaceae";"Marine";
"Haematoxylum campechianum";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Halophila stipulacea";"Plantae";"Magnoliophyta";"Liliopsida";"Hydrocharitales";"Hydrocharitaceae";"Terrestrial";
"Hedera helix";"Plantae";"Phaeophycophyta";"Phaeophyceae";"Laminariales";"Alariaceae";"Terrestrial";
"Hedychium coccineum";"Plantae";"Magnoliophyta";"Liliopsida";"Zingiberales";"Zingiberaceae";"Terrestrial";
"Hedychium coronarium";"Plantae";"Magnoliophyta";"Liliopsida";"Zingiberales";"Zingiberaceae";"Terrestrial";
"Hedychium gardnerianum";"Plantae";"Magnoliophyta";"Liliopsida";"Zingiberales";"Zingiberaceae";"Terrestrial";
"Heliotropium curassavicum";"Plantae";"Magnoliophyta";"Magnoliopsida";"Lamiales";"Boraginaceae";"Terrestrial";
"Hemidactylus mabouia";"Animalia";"Chordata";"Reptilia";"Squamata";"Gekkonidae";"Terrestrial";
"Herpestes javanicus";"Animalia";"Chordata";"Mammalia";"Carnivora";"Herpestidae";"Terrestrial";
"Hypnea musciformis";"Plantae";"Rhodophycota";"Rhodophyceae";"Gigartinales";"Hypneaceae";"Marine";
"Hypophthalmichthys molitrix";"Animalia";"Chordata";"Actinopterygii";"Cypriniformes";"Cyprinidae";"Freshwater";
"Hypophthalmichthys nobilis";"Animalia";"Chordata";"Actinopterygii";"Cypriniformes";"Cyprinidae";"Freshwater";
"Icerya purchasi";"Animalia";"Arthropoda";"Insecta";"Hemiptera";"Margarodidae";"Terrestrial";
"Iguana iguana";"Animalia";"Chordata";"Reptilia";"Squamata";"Iguanidae";"Terrestrial";
"Impatiens walleriana";"Plantae";"Magnoliophyta";"Magnoliopsida";"Geraniales";"Balsaminaceae";"Terrestrial";
"Ipomoea aquatica";"Plantae";"Magnoliophyta";"Magnoliopsida";"Solanales";"Convolvulaceae";"Terrestrial";
"Ipomoea cairica";"Plantae";"Magnoliophyta";"Magnoliopsida";"Solanales";"Convolvulaceae";"Terrestrial";
"Ischaemum timorense";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Jatropha gossypiifolia";"Plantae";"Magnoliophyta";"Magnoliopsida";"Euphorbiales";"Euphorbiaceae";"Terrestrial";
"Juncus tenuis";"Plantae";"Magnoliophyta";"Liliopsida";"Juncales";"Juncaceae";"Terrestrial";
"Juniperus bermudiana";"Plantae";"Coniferophyta";"Coniferopsida";"Coniferales";"Cupressaceae";"Terrestrial";
"Kalanchoe pinnata";"Plantae";"Magnoliophyta";"Magnoliopsida";"Rosales";"Crassulaceae";"Terrestrial";
"Lantana camara";"Plantae";"Magnoliophyta";"Magnoliopsida";"Lamiales";"Verbenaceae";"Terrestrial";
"Lates niloticus";"Animalia";"Chordata";"Actinopterygii";"Perciformes";"Centropomidae";"Freshwater";
"Launaea intybacea";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Lepidium virginicum";"Plantae";"Magnoliophyta";"Magnoliopsida";"Capparales";"Brassicaceae";"Terrestrial";
"Lepus europaeus";"Animalia";"Chordata";"Mammalia";"Lagomorpha";"Leporidae";"Terrestrial";
"Leucaena leucocephala";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Ligustrum lucidum";"Plantae";"Magnoliophyta";"Magnoliopsida";"Scrophulariales";"Oleaceae";"Terrestrial";
"Ligustrum sinense";"Plantae";"Magnoliophyta";"Magnoliopsida";"Scrophulariales";"Oleaceae";"Terrestrial";
"Linepithema humile";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Terrestrial";
"Lithobates catesbeianus";"Animalia";"Chordata";"Amphibia";"Anura";"Ranidae";"Freshwater_terrestrial";
"Livistona chinensis";"Plantae";"Magnoliophyta";"Liliopsida";"Arecales";"Arecaceae";"Terrestrial";
"Lonicera japonica";"Plantae";"Magnoliophyta";"Magnoliopsida";"Dipsacales";"Caprifoliaceae";"Terrestrial";
"Ludwigia peruviana";"Plantae";"Magnoliophyta";"Magnoliopsida";"Myrtales";"Onagraceae";"Terrestrial";
"Lygodium japonicum";"Plantae";"Pteridophyta";"Filicopsida";"Polypodiales";"Lygodiaceae";"Terrestrial";
"Macaca mulatta";"Animalia";"Chordata";"Mammalia";"Primates";"Cercopithecidae";"Terrestrial";
"Macfadyena unguis-cati";"Plantae";"Magnoliophyta";"Magnoliopsida";"Scrophulariales";"Bignoniaceae";"Terrestrial";
"Maconellicoccus hirsutus";"Animalia";"Arthropoda";"Insecta";"Hemiptera";"Pseudococcidae";"Terrestrial";
"Melaleuca quinquenervia";"Plantae";"Magnoliophyta";"Magnoliopsida";"Myrtales";"Myrtaceae";"Terrestrial";
"Melia azedarach";"Plantae";"Magnoliophyta";"Magnoliopsida";"Sapindales";"Meliaceae";"Terrestrial";
"Melinis minutiflora";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Merremia tuberosa";"Plantae";"Magnoliophyta";"Magnoliopsida";"Solanales";"Convolvulaceae";"Terrestrial";
"Miconia calvescens";"Plantae";"Magnoliophyta";"Magnoliopsida";"Myrtales";"Melastomataceae";"Terrestrial";
"Micropterus salmoides";"Animalia";"Chordata";"Actinopterygii";"Perciformes";"Centrarchidae";"Freshwater";
"Microstegium vimineum";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Mikania micrantha";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Mimosa pigra";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Mimosa pudica";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Molothrus bonariensis";"Animalia";"Chordata";"Aves";"Passeriformes";"Icteridae";"Terrestrial";
"Monomorium destructor";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Terrestrial";
"Monomorium floricola";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Terrestrial";
"Monomorium pharaonis";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Terrestrial";
"Mus musculus";"Animalia";"Chordata";"Mammalia";"Rodentia";"Muridae";"Terrestrial";
"Myiopsitta monachus";"Animalia";"Chordata";"Aves";"Psittaciformes";"Psittacidae";"Terrestrial";
"Mytilopsis sallei";"Animalia";"Mollusca";"Bivalvia";"Veneroida";"Dreissenidae";"Marine";
"Neyraudia reynaudiana";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Norops grahami";"Animalia";"Chordata";"Reptilia";"Squamata";"Polychrotidae";"Terrestrial";
"Norops sagrei";"Animalia";"Chordata";"Reptilia";"Squamata";"Polychrotidae";"Terrestrial";
"Nylanderia (=Paratrechina) pubens";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Terrestrial";
"Nymphaea odorata";"Plantae";"Magnoliophyta";"Magnoliopsida";"Nymphaeales";"Nymphaeaceae";"Terrestrial";
"Nypa fruticans";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Ocimum gratissimum";"Plantae";"Magnoliophyta";"Magnoliopsida";"Lamiales";"Lamiaceae";"Terrestrial";
"Oeceoclades maculata";"Plantae";"Magnoliophyta";"Liliopsida";"Orchidales";"Orchidaceae";"Terrestrial";
"Oncorhynchus mykiss";"Animalia";"Chordata";"Actinopterygii";"Salmoniformes";"Salmonidae";"Freshwater";
"Ophiostoma ulmi sensu lato";"Fungi";"Ascomycota";"Ascomycetes";"Ophiostomatales";"Ophiostomataceae";"Terrestrial";
"Opuntia cochenillifera";"Plantae";"Magnoliophyta";"Magnoliopsida";"Caryophyllales";"Cactacea";"Terrestrial";
"Opuntia stricta";"Plantae";"Magnoliophyta";"Magnoliopsida";"Caryophyllales";"Cactacea";"Terrestrial";
"Oreochromis";"Animalia";"Chordata";"Actinopterygii";"Perciformes";"Cichlidae";"Freshwater";
"Oreochromis aureus";"Animalia";"Chordata";"Actinopterygii";"Perciformes";"Cichlidae";"Freshwater";
"Oreochromis mossambicus";"Animalia";"Chordata";"Actinopterygii";"Perciformes";"Cichlidae";"Freshwater";
"Oreochromis niloticus";"Animalia";"Chordata";"Actinopterygii";"Perciformes";"Cichlidae";"Freshwater";
"Orthezia insignis";"Animalia";"Arthropoda";"Insecta";"Hemiptera";"Ortheziidae";"Terrestrial";
"Osteopilus septentrionalis";"Animalia";"Chordata";"Amphibia";"Anura";"Hylidae";"Freshwater_terrestrial";
"Ovis aries";"Animalia";"Chordata";"Mammalia";"Artiodactyla";"Bovidae";"Terrestrial";
"Oxalis corniculata";"Plantae";"Magnoliophyta";"Magnoliopsida";"Geraniales";"Oxalidaceae";"Terrestrial";
"Oxalis latifolia";"Plantae";"Magnoliophyta";"Magnoliopsida";"Geraniales";"Oxalidaceae";"Terrestrial";
"Oxalis pes-caprae";"Plantae";"Magnoliophyta";"Magnoliopsida";"Geraniales";"Oxalidaceae";"Terrestrial";
"Oxycaryum cubense";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Cyperaceae";"Terrestrial";
"Paratachardina pseudolobata";"Animalia";"Arthropoda";"Insecta";"Hemiptera";"Kerriidae";"Terrestrial";
"Paratrechina longicornis";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Terrestrial";
"Parthenium hysterophorus";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Paspalum vaginatum";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Passer domesticus";"Animalia";"Chordata";"Aves";"Passeriformes";"Passeridae";"Terrestrial";
"Passiflora edulis";"Plantae";"Magnoliophyta";"Magnoliopsida";"Violales";"Passifloraceae";"Terrestrial";
"Passiflora foetida";"Plantae";"Magnoliophyta";"Magnoliopsida";"Violales";"Passifloraceae";"Terrestrial";
"Passiflora suberosa";"Plantae";"Magnoliophyta";"Magnoliopsida";"Violales";"Passifloraceae";"Terrestrial";
"Perna perna";"Animalia";"Mollusca";"Bivalvia";"Mytiloida";"Mytilidae";"Marine";
"Perna viridis";"Animalia";"Mollusca";"Bivalvia";"Mytiloida";"Mytilidae";"Marine";
"Phalaris arundinacea";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Pheidole megacephala";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Terrestrial";
"Philornis downsi";"Animalia";"Arthropoda";"Insecta";"Diptera";"Muscidae";"Terrestrial";
"Phoenix canariensis";"Plantae";"Magnoliophyta";"Liliopsida";"Arecales";"Arecaceae";"Terrestrial";
"Phragmites australis";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Phyllorhiza punctata";"Animalia";"Cnidaria";"Scyphozoa";"Rhizostomeae";"Mastigiidae";"Marine";
"Phymatosorus scolopendria";"Plantae";"Pteridophyta";"Filicopsida";"Polypodiales";"	Polypodiaceae";"Terrestrial";
"Physalis peruviana";"Plantae";"Magnoliophyta";"Magnoliopsida";"Solanales";"Solanaceae";"Terrestrial";
"Pimenta dioica";"Plantae";"Magnoliophyta";"Magnoliopsida";"Myrtales";"Myrtaceae";"Terrestrial";
