,Line_ID,Diver,Buddy,Site.No.,event,Site.Name,Habitat,Latitude,Longitude,Date,vis,Direction,Time,P.Qs,Depth,Method,Block,Code,Species,Common.name,Note,A,B,CF,Total Abundance,Total Biomass,Inverts,3,6,9,12,15,18,23,27,30.5,33.8,36.8,46,57,69,81,92,103.5,115,3,6,9,12,15,18,23,27,30.5,33.8,36.8,46,57,69,81,92,103.5,115
131,174,Janina Seemann,0,BOCAS2m,Almirante Mangrove_6/19/17_1,Almirante Mangrove,Mangrove,9.295769,-82.345434,6/19/17,4,E,10:00,0,1,1,1,sba,Sphyraena barracuda,0,,0.0108,2.84,1,1,5.539524434,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.539524434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
728,8,Will Wied,0,BOCAS2m,Almirante Mangrove_6/19/17_2,Almirante Mangrove,Mangrove,9.295769,-82.345434,6/19/17,4,E,10:00,0,1.5,1,2,Bel,Belonidae,Flat Needlefish,,0.00036,3.322,NA,8,21.81719504,0,0,0,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.064942386,1.384658258,8.717639748,10.64995465,0,0,0,0,0,0,0,0,0,0,0,0
721,1,Will Wied,0,BOCAS2m,Almirante Mangrove_6/19/17_2,Almirante Mangrove,Mangrove,9.295769,-82.345434,6/19/17,4,E,10:00,0,1.5,1,2,Cla,Caranx latus,Horse-eye Jack,,0.0674,2.668,0.99,20,395.5161306,0,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.1547972,355.3613334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,5,Will Wied,0,BOCAS2m,Almirante Mangrove_6/19/17_2,Almirante Mangrove,Mangrove,9.295769,-82.345434,6/19/17,4,E,10:00,0,1.5,1,2,Cca,Chaetodon capistratus,,,0.047,2.86,1,3,75.57056856,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.57056856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
731,11,Will Wied,0,BOCAS2m,Almirante Mangrove_6/19/17_2,Almirante Mangrove,Mangrove,9.295769,-82.345434,6/19/17,4,E,10:00,0,1.5,1,2,Eme,Eucinostomus melanopterus,Flagfin Mojarra,,0.006,3.62,NA,2,0.640265628,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.640265628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
722,2,Will Wied,0,BOCAS2m,Almirante Mangrove_6/19/17_2,Almirante Mangrove,Mangrove,9.295769,-82.345434,6/19/17,4,E,10:00,0,1.5,1,2,Gci,Gerres cinereus,,,0.0147,3.12,0.821692687,1,68.6628875,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.6628875,0,0,0,0,0,0,0,0,0,0,0,0,0
729,9,Will Wied,0,BOCAS2m,Almirante Mangrove_6/19/17_2,Almirante Mangrove,Mangrove,9.295769,-82.345434,6/19/17,4,E,10:00,0,1.5,1,2,Hmac,Haemulon macrostomum,,,0.0176,3.06,0.92506938,18,174.6881903,0,7,3,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.553053503,12.69921128,87.83062983,70.60529573,0,0,0,0,0,0,0,0,0,0,0,0,0,0
730,10,Will Wied,0,BOCAS2m,Almirante Mangrove_6/19/17_2,Almirante Mangrove,Mangrove,9.295769,-82.345434,6/19/17,4,E,10:00,0,1.5,1,2,Hst,Haemulon parra,,,0.0199,2.993,0.930665426,5,70.85523813,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.489649577,28.57135931,33.79422925,0,0,0,0,0,0,0,0,0,0,0,0,0,0
724,4,Will Wied,0,BOCAS2m,Almirante Mangrove_6/19/17_2,Almirante Mangrove,Mangrove,9.295769,-82.345434,6/19/17,4,E,10:00,0,1.5,1,2,Hpu,Hypoplectrus puella,,,0.0109,3.182,1,3,18.37723984,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.524297743,11.8529421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
727,7,Will Wied,0,BOCAS2m,Almirante Mangrove_6/19/17_2,Almirante Mangrove,Mangrove,9.295769,-82.345434,6/19/17,4,E,10:00,0,1.5,1,2,Lap,Lutjanus apodus,,,0.0194,2.978,0.969932105,39,1220.404305,0,5,2,9,14,7,2,0,0,0,0,0,0,0,0,0,0,0,0,2.556458993,8.05686616,121.2769964,444.3564785,431.8168047,212.3407005,0,0,0,0,0,0,0,0,0,0,0,0
723,3,Will Wied,0,BOCAS2m,Almirante Mangrove_6/19/17_2,Almirante Mangrove,Mangrove,9.295769,-82.345434,6/19/17,4,E,10:00,0,1.5,1,2,Lgr,Lutjanus griseus,,,0.0195,2.91,1,1,11.66488103,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.66488103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,6,Will Wied,0,BOCAS2m,Almirante Mangrove_6/19/17_2,Almirante Mangrove,Mangrove,9.295769,-82.345434,6/19/17,4,E,10:00,0,1.5,1,2,Par,Pomacanthus arcuatus,,,0.0344,2.968,1,2,109.7989979,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.7989979,0,0,0,0,0,0,0,0,0,0,0,0,0,0
559,90,Daniella Heflin,0,Bocas2m,Almirante Mangrove_6/19/17_3,Almirante Mangrove,Mangrove,9.295769,-82.345434,6/19/17,4,E,10:00,0,2,1,3,Bel,Belonidae,Needlefish,,0.00036,3.322,NA,7,8.840420741,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.532471193,8.307949548,0,0,0,0,0,0,0,0,0,0,0,0,0,0
563,94,Daniella Heflin,0,Bocas2m,Almirante Mangrove_6/19/17_3,Almirante Mangrove,Mangrove,9.295769,-82.345434,6/19/17,4,E,10:00,0,2,1,3,Cca,Chaetodon capistratus,0,,0.047,2.86,1,1,57.35301081,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.35301081,0,0,0,0,0,0,0,0,0,0,0,0,0,0
564,95,Daniella Heflin,0,Bocas2m,Almirante Mangrove_6/19/17_3,Almirante Mangrove,Mangrove,9.295769,-82.345434,6/19/17,4,E,10:00,0,2,1,3,Cgl,Coryphopterus glaucofraenum,0,,0.0165,2.68,1,30,41.02963133,0,16,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.015207306,24.10518902,11.909235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
554,85,Daniella Heflin,0,Bocas2m ,Almirante Mangrove_6/19/17_3,Almirante Mangrove,Mangrove,9.295769,-82.345434,6/19/17,4,E,10:00,0,2,1,3,Eme,Eucinostomus melanopterus,Flagfin Mojarra,,0.006,3.62,NA,23,72.44926555,0,5,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.600664071,70.84860148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
562,93,Daniella Heflin,0,Bocas2m,Almirante Mangrove_6/19/17_3,Almirante Mangrove,Mangrove,9.295769,-82.345434,6/19/17,4,E,10:00,0,2,1,3,Gni,Gambusia nicaraguensis,mosquito fish ,,0.01,3.37,NA,3,5.002330136,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.810827788,4.191502348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
555,86,Daniella Heflin,0,Bocas2m,Almirante Mangrove_6/19/17_3,Almirante Mangrove,Mangrove,9.295769,-82.345434,6/19/17,4,E,10:00,0,2,1,3,Gci,Gerres cinereus,0,,0.0147,3.12,0.821692687,1,121.2739577,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.2739577,0,0,0,0,0,0,0,0,0,0,0,0
560,91,Daniella Heflin,0,Bocas2m,Almirante Mangrove_6/19/17_3,Almirante Mangrove,Mangrove,9.295769,-82.345434,6/19/17,4,E,10:00,0,2,1,3,Hfl,Haemulon flavolineatum,0,,0.013,3.158,0.917431193,25,452.0433749,0,2,10,7,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.835068824,37.26876496,93.87268438,133.063125,67.30379427,119.6999374,0,0,0,0,0,0,0,0,0,0,0,0
557,88,Daniella Heflin,0,Bocas2m,Almirante Mangrove_6/19/17_3,Almirante Mangrove,Mangrove,9.295769,-82.345434,6/19/17,4,E,10:00,0,2,1,3,Hbi,Halichoeres bivittatus,0,,0.0134,2.939,1,1,8.54325823,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.54325823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
558,89,Daniella Heflin,0,Bocas2m,Almirante Mangrove_6/19/17_3,Almirante Mangrove,Mangrove,9.295769,-82.345434,6/19/17,4,E,10:00,0,2,1,3,Hpu,Hypoplectrus puella,0,,0.0109,3.182,1,2,41.45904354,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8529421,29.60610144,0,0,0,0,0,0,0,0,0,0,0,0,0,0
556,87,Daniella Heflin,0,Bocas2m,Almirante Mangrove_6/19/17_3,Almirante Mangrove,Mangrove,9.295769,-82.345434,6/19/17,4,E,10:00,0,2,1,3,Lap,Lutjanus apodus,0,,0.0194,2.978,0.969932105,15,930.4675758,0,0,0,1,5,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13.47522182,158.6987423,431.8168047,106.1703503,220.3064567,0,0,0,0,0,0,0,0,0,0,0
565,96,Daniella Heflin,0,Bocas2m,Almirante Mangrove_6/19/17_3,Almirante Mangrove,Mangrove,9.295769,-82.345434,6/19/17,4,E,10:00,0,2,1,3,Lgr,Lutjanus griseus,0,,0.0195,2.91,1,1,178.9215345,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.9215345,0,0,0,0,0,0,0,0,0,0,0
561,92,Daniella Heflin,0,Bocas2m,Almirante Mangrove_6/19/17_3,Almirante Mangrove,Mangrove,9.295769,-82.345434,6/19/17,4,E,10:00,0,2,1,3,Ljo,Lutjanus jocu,0,,0.045,2.727,0.953288847,1,0.900165109,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.900165109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,210,Janina Seemann,Will Wied,BOCAS2,Almirante Reef_6/19/17_1,Almirante Reef,Reef,9.28993,-82.34309,6/19/17,10,E,13:00,0,3,1,1,cro,Canthigaster rostrata,0,,0.0323,2.953,1,1,21.23638806,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.23638806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,198,Janina Seemann,Will Wied,BOCAS2,Almirante Reef_6/19/17_1,Almirante Reef,Reef,9.28993,-82.34309,6/19/17,10,E,13:00,0,3,1,1,cca,Chaetodon capistratus,0,,0.047,2.86,1,15,291.4003802,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.49848502,251.9018952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,205,Janina Seemann,Will Wied,BOCAS2,Almirante Reef_6/19/17_1,Almirante Reef,Reef,9.28993,-82.34309,6/19/17,10,E,13:00,0,3,1,1,coc,Chaetodon ocellatus,0,,0.0318,2.984,1,1,22.38137522,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.38137522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,203,Janina Seemann,Will Wied,BOCAS2,Almirante Reef_6/19/17_1,Almirante Reef,Reef,9.28993,-82.34309,6/19/17,10,E,13:00,0,3,1,1,cgl,Coryphopterus glaucofraenum,0,,0.0165,2.68,1,22,10.28654064,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.269009133,4.017531503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,201,Janina Seemann,Will Wied,BOCAS2,Almirante Reef_6/19/17_1,Almirante Reef,Reef,9.28993,-82.34309,6/19/17,10,E,13:00,0,3,1,1,cpe,Coryphopterus personatus,0,,0.0062,3.314,1,200,47.27173292,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.27173292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,197,Janina Seemann,Will Wied,BOCAS2,Almirante Reef_6/19/17_1,Almirante Reef,Reef,9.28993,-82.34309,6/19/17,10,E,13:00,0,3,1,1,hbi,Halichoeres bivittatus,0,,0.0134,2.939,1,116,2777.574402,0,0,30,30,30,10,10,6,0,0,0,0,0,0,0,0,0,0,0,0,77.84174767,256.2977469,596.9524449,383.3866699,655.1650034,807.9307891,0,0,0,0,0,0,0,0,0,0,0
151,206,Janina Seemann,Will Wied,BOCAS2,Almirante Reef_6/19/17_1,Almirante Reef,Reef,9.28993,-82.34309,6/19/17,10,E,13:00,0,3,1,1,hni,Hypoplectrus nigricans,0,,0.0109,3.182,1,1,11.8529421,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8529421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,209,Janina Seemann,Will Wied,BOCAS2,Almirante Reef_6/19/17_1,Almirante Reef,Reef,9.28993,-82.34309,6/19/17,10,E,13:00,0,3,1,1,hpu,Hypoplectrus puella,0,,0.0109,3.182,1,5,59.26471051,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.26471051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,199,Janina Seemann,Will Wied,BOCAS2,Almirante Reef_6/19/17_1,Almirante Reef,Reef,9.28993,-82.34309,6/19/17,10,E,13:00,0,3,1,1,par,Pomacanthus arcuatus,0,,0.0344,2.968,1,1,106.4626567,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.4626567,0,0,0,0,0,0,0,0,0,0,0,0,0
145,200,Janina Seemann,Will Wied,BOCAS2,Almirante Reef_6/19/17_1,Almirante Reef,Reef,9.28993,-82.34309,6/19/17,10,E,13:00,0,3,1,1,sis,Scarus iseri,0,,0.0166,3.02,0.860691012,322,19779.89877,0,0,10,10,100,100,100,2,0,0,0,0,0,0,0,0,0,0,0,0,37.16420647,126.4504754,3014.639957,5914.304634,10257.25266,430.0868345,0,0,0,0,0,0,0,0,0,0,0
149,204,Janina Seemann,Will Wied,BOCAS2,Almirante Reef_6/19/17_1,Almirante Reef,Reef,9.28993,-82.34309,6/19/17,10,E,13:00,0,3,1,1,sti,Serranus tigrinus,0,,0.0145,3.048,0.817764358,3,68.20645121,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.74624814,56.46020307,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,207,Janina Seemann,Will Wied,BOCAS2,Almirante Reef_6/19/17_1,Almirante Reef,Reef,9.28993,-82.34309,6/19/17,10,E,13:00,0,3,1,1,sdi,Stegastes diencaeus,0,,0.0275,2.973,1,2,63.32913793,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.8927716,44.43636632,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,208,Janina Seemann,Will Wied,BOCAS2,Almirante Reef_6/19/17_1,Almirante Reef,Reef,9.28993,-82.34309,6/19/17,10,E,13:00,0,3,1,1,spa,Stegastes partitus,0,,0.0182,3.152,0.785545954,2,10.32367027,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.32367027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,202,Janina Seemann,Will Wied,BOCAS2,Almirante Reef_6/19/17_1,Almirante Reef,Reef,9.28993,-82.34309,6/19/17,10,E,13:00,0,3,1,1,spl,Stegastes planifrons,0,,0.0379,2.857,0.863,103,2031.495005,0,1,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.874529844,12.67206313,2017.948412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
751,175,Will Wied,Janina Seemann,BOCAS2,Almirante Reef_6/19/17_2,Almirante Reef,Reef,9.28993,-82.34309,6/19/17,8,W,13:00,0,3,1,2,Asa,Abudefduf saxatilis,0,,0.0227,3.142,0.883392226,31,635.7022528,0,0,4,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.29513941,610.4071134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
745,169,Will Wied,Janina Seemann,BOCAS2,Almirante Reef_6/19/17_2,Almirante Reef,Reef,9.28993,-82.34309,6/19/17,8,W,13:00,0,3,1,2,Cca,Chaetodon capistratus,0,,0.047,2.86,1,4,31.59878801,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.59878801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
752,176,Will Wied,Janina Seemann,BOCAS2,Almirante Reef_6/19/17_2,Almirante Reef,Reef,9.28993,-82.34309,6/19/17,8,W,13:00,0,3,1,2,Coc,Chaetodon ocellatus,0,,0.0318,2.984,1,1,22.38137522,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.38137522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
741,165,Will Wied,Janina Seemann,BOCAS2,Almirante Reef_6/19/17_2,Almirante Reef,Reef,9.28993,-82.34309,6/19/17,8,W,13:00,0,3,1,2,Cgl,Coryphopterus glaucofraenum,0,,0.0165,2.68,1,99,166.6568188,0,19,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.955558676,160.7012601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
743,167,Will Wied,Janina Seemann,BOCAS2,Almirante Reef_6/19/17_2,Almirante Reef,Reef,9.28993,-82.34309,6/19/17,8,W,13:00,0,3,1,2,Cpe,Coryphopterus personatus,0,,0.0062,3.314,1,385,90.99808588,0,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.99808588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
749,173,Will Wied,Janina Seemann,BOCAS2,Almirante Reef_6/19/17_2,Almirante Reef,Reef,9.28993,-82.34309,6/19/17,8,W,13:00,0,3,1,2,Eil,Elacatinus illecebrosus,0,,0.0092,3.017,1,6,8.700810566,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.506165626,8.19464494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
744,168,Will Wied,Janina Seemann,BOCAS2,Almirante Reef_6/19/17_2,Almirante Reef,Reef,9.28993,-82.34309,6/19/17,8,W,13:00,0,3,1,2,Hbi,Halichoeres bivittatus,0,,0.0134,2.939,1,79,1056.056067,0,9,14,28,19,7,2,0,0,0,0,0,0,0,0,0,0,0,0,3.045135873,36.32614891,239.2112304,378.0698817,268.370669,131.0330007,0,0,0,0,0,0,0,0,0,0,0,0
750,174,Will Wied,Janina Seemann,BOCAS2,Almirante Reef_6/19/17_2,Almirante Reef,Reef,9.28993,-82.34309,6/19/17,8,W,13:00,0,3,1,2,Hge,Hypoplectrus gemma,0,,0.0109,3.182,1,1,3.262148872,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.262148872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
748,172,Will Wied,Janina Seemann,BOCAS2,Almirante Reef_6/19/17_2,Almirante Reef,Reef,9.28993,-82.34309,6/19/17,8,W,13:00,0,3,1,2,Hpu,Hypoplectrus puella,0,,0.0109,3.182,1,6,53.93606615,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.524297743,47.4117684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
742,166,Will Wied,Janina Seemann,BOCAS2,Almirante Reef_6/19/17_2,Almirante Reef,Reef,9.28993,-82.34309,6/19/17,8,W,13:00,0,3,1,2,Sis,Scarus iseri,0,,0.0166,3.02,0.860691012,52,1332.051803,0,0,2,27,16,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7.432841294,341.4162837,482.3423931,295.7152317,205.1450533,0,0,0,0,0,0,0,0,0,0,0,0
747,171,Will Wied,Janina Seemann,BOCAS2,Almirante Reef_6/19/17_2,Almirante Reef,Reef,9.28993,-82.34309,6/19/17,8,W,13:00,0,3,1,2,Str,Scarus trispinosus,0,,0.0184,3.029,0.973,1,4.186373382,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.186373382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
746,170,Will Wied,Janina Seemann,BOCAS2,Almirante Reef_6/19/17_2,Almirante Reef,Reef,9.28993,-82.34309,6/19/17,8,W,13:00,0,3,1,2,Sdi,Stegastes diencaeus,0,,0.0275,2.973,1,1,5.659477807,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.659477807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
740,164,Will Wied,Janina Seemann,BOCAS2,Almirante Reef_6/19/17_2,Almirante Reef,Reef,9.28993,-82.34309,6/19/17,8,W,13:00,0,3,1,2,Spl,Stegastes planifrons,0,,0.0379,2.857,0.863,74,1410.221109,0,0,6,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.0161894,1372.20492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
