Code,Species,superkingdom,kingdom,phylum,superclass,class,order,family,genus,species
csp3,Clupeid spp.,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Clupeiformes,Clupeidae,,
svi,Sparisoma viride,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Labriformes,Scaridae,Sparisoma,Sparisoma viride
avi,Anisotremus virginicus,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Lutjaniformes,Haemulidae,Anisotremus,Anisotremus virginicus
cch,Chloroscombrus chrysurus,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Carangiformes,Carangidae,Chloroscombrus,Chloroscombrus chrysurus
aco,Acanthurus coeruleus,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Acanthuriformes,Acanthuridae,Acanthurus,Acanthurus coeruleus
ama,Aulostomus maculatus,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Syngnathiformes,Aulostomidae,Aulostomus,Aulostomus maculatus
hpo,Halichoeres poeyi,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Labriformes ,Labridae,Halichoeres,Halichoeres poeyi
mch,Microspathodon chrysurus,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,,Pomacentridae,Microspathodon,Microspathodon chrysurus
sau,Sparisoma aurofrenatum,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Labriformes,Scaridae,Sparisoma,Sparisoma aurofrenatum
tbi,Thalassoma bifasciatum,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Labriformes,Labridae,Thalassoma,Thalassoma bifasciatum
hysp,Hypleurochilus geminatus,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Blenniiformes,Blenniidae,Hypleurochilus,Hypleurochilus geminatus
pni,Paraclinus nigripinnis,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Perciformes,Labrisomidae,Paraclinus,Paraclinus nigripinnis
aba,Acanthurus tractus,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri, Acanthuriformes,Acanthuridae,Acanthurus,Acanthurus tractus
cru,Carangoides ruber,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Carangiformes,Carangidae,Carangoides,Carangoides ruber
stsp,Stegastes spp.,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Perciformes,Pomacentridae,Stegastes,
ach,Acanthurus chirurgus,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Acanthuriformes,Acanthuridae,Acanthurus,Acanthurus chirurgus
sra,Sparisoma radians,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Perciformes,Scaridae,Sparisoma,Sparisoma radians
csp5,Clupeid spp.,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Clupeiformes,Clupeidae,,
csp6,Clupeid spp.,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Clupeiformes,Clupeidae,,
csp7,Clupeid spp.,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Clupeiformes,Clupeidae,,
ccr,Cephalopholis cruentata,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Perciformes ,Serranidae,Cephalopholis,Cephalopholis cruentata
lsp,Lutjanus spp.,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Lutjaniformes,Lutjanidae,Lutjanus,
oat,Ophioblennius atlanticus,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Blenniiformes,Blenniidae,Ophioblennius,Ophioblennius atlanticus
uja,Urobatis jamaicensis,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri, Myliobatiformes,Urotrygonidae ,Urobatis ,Urobatis jamaicensis
loc,Lophogobius cyprinoides,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Gobiiformes,Gobiidae,Lophogobius,Lophogobius cyprinoides
cpu,Cantherhines pullus,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Tetraodontiformes ,Monacanthidae ,Cantherhines,Cantherhines pullus
hci,Holacanthus ciliaris,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,,Pomacanthidae,Holacanthus,Holacanthus ciliaris
sma,Scomberomorus maculatus,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Scombriformes,Scombridae,Scomberomorus,Scomberomorus maculatus
hun,Hypoplectrus unicolor,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Perciformes,Serranidae,Hypoplectrus,Hypoplectrus unicolor
pma,Parablennius marmoreus,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Blenniiformes,Blenniidae ,Parablennius,Parablennius marmoreus
oau,Opistognathus aurifrons,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,,Opistognathidae,Opistognathus,Opistognathus aurifrons
pac,Prognathodes aculeatus,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Chaetodontiformes,Chaetodontidae ,Prognathodes,Prognathodes aculeatus
cfa,Chaetodipterus faber,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Ephippiformes        order 1489930,Ephippidae,Chaetodipterus,Chaetodipterus faber
pvo,Pterois volitans,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Perciformes,Scorpaenidae,Pterois,Pterois volitans
cbar,Carangoides bartholomaei,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Carangiformes,Carangidae,Carangoides,Carangoides bartholomaei
cun,Centropomus undecimalis,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,,Centropomidae,Centropomus,Centropomus undecimalis
hau,Haemulon aurolineatum,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Lutjaniformes ,Haemulidae,Haemulon,Haemulon aurolineatum  
poe,Poeciliidae,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Cyprinodontiformes,Poeciliidae,,
ahi,Ablennes hians,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Beloniformes,Belonidae ,Ablennes,Ablennes hians
mtu,Monacanthus tuckeri,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Tetraodontiformes,Monacanthidae,Monacanthus,Monacanthus tuckeri
och,Ocyurus chrysurus,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Lutjaniformes,Lutjanidae,Ocyurus,Ocyurus chrysurus
pmac,Pseudupeneus maculatus,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Syngnathiformes,Mullidae,Pseudupeneus,Pseudupeneus maculatus
ssp,Sphoeroides spengleri,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Tetraodontiformes,Tetraodontidae,Sphoeroides,Sphoeroides spengleri
ode,Odontoscion dentex,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,,Sciaenidae,Odontoscion,Odontoscion dentex
aqu,Acanthostracion quadricornis,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Tetraodontiformes,Ostraciidae,Acanthostracion,Acanthostracion quadricornis
sch,Sparisoma chrysopterum,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Labriformes ,Scaridae,Sparisoma,Sparisoma chrysopterum
sru,Sparisoma rubripinne,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Labriformes ,Labridae,Sparisoma,Sparisoma chrysopterum
corsp,Coryphopterus spp.,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,  Gobiiformes,Gobiidae,Coryphopterus,
hpi,Halichoeres pictus,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Labriformes,Labridae ,Halichoeres ,Halichoeres pictus
cpen,Calamus pennatula,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Spariformes,Sparidae,Calamus,Calamus pennatula
cbart,Caranx bartholomaei,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Carangiformes,Carangidae,Carangoides,Caranx bartholomaei
msp,Malacoctenus spp.,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Blenniiformes,Labrisomidae,Malacoctenus,
sva,Stegastes diencaeus,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,,Pomacentridae,Stegastes,Stegastes diencaeus
arh,Archosargus rhomboidalis,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Spariformes,Sparidae,Archosargus,Archosargus rhomboidalis
dhy,Diodon hystrix,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Tetraodontiformes ,Diodontidae,Diodon,Diodon hystrix
cst,Chaetodon striatus,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Chaetodontiformes,Chaetodontidae,Chaetodon,Chaetodon striatus
opi,Opistognathus spp.,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,,Opistognathidae,Opistognathus,
acr,Amphichthys cryptocentrus,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Batrachoidiformes,Batrachoididae,Amphichthys,Amphichthys cryptocentrus
bru,Bodianus rufus,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Labriformes,Labridae,Bodianus,Bodianus rufus
gth,Gnatholepis thompsoni,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Gobiiformes,Gobiidae,Gnatholepis ,Gnatholepis thompsoni
hma,Halichoeres maculipinna,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Labriformes,Labridae,Halichoeres,Halichoeres maculipinna
ccry,Caranx crysos,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Carangiformes ,Carangidae,Caranx,Caranx crysos
sre,Scomberomorus regalis,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Scombriformes,Scombridae,Scomberomorus,Scomberomorus regalis
tsa,Tigrigobius saucrus,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Gobiiformes,Gobiidae ,Tigrigobius,Tigrigobius saucrus
can,Chilomycterus antennatus,Eukarya,Metazoa,Chordata,Actinopterygii,Actinopteri,Tetraodontiformes,Diodontidae,Chilomycterus,Chilomycterus antennatus
